,Time,Open,High,Low,Close,Volume
1314,2014-10-09T12:24:00+0530,224.35,224.49,224.29,224.33,5649
1315,2014-10-09T12:25:00+0530,224.35,224.53,224.35,224.53,3948
1316,2014-10-09T12:26:00+0530,224.53,224.53,224.39,224.39,2133
1317,2014-10-09T12:27:00+0530,224.4,224.63,224.35,224.4,1803
1318,2014-10-09T12:28:00+0530,224.39,224.42,224.27,224.3,7362
1319,2014-10-09T12:29:00+0530,224.32,224.33,224.23,224.32,4263
1320,2014-10-09T12:30:00+0530,224.33,224.59,224.29,224.45,4833
1321,2014-10-09T12:31:00+0530,224.59,224.62,224.42,224.5,2964
1322,2014-10-09T12:32:00+0530,224.52,224.6,224.45,224.5,3771
1323,2014-10-09T12:33:00+0530,224.62,224.62,224.42,224.42,6648
1324,2014-10-09T12:34:00+0530,224.42,224.63,224.37,224.5,8178
1325,2014-10-09T12:35:00+0530,224.62,224.63,224.45,224.5,4536
1326,2014-10-09T12:36:00+0530,224.57,224.59,224.45,224.5,1962
1327,2014-10-09T12:37:00+0530,224.6,224.6,224.45,224.49,2043
1328,2014-10-09T12:38:00+0530,224.49,224.5,224.35,224.35,1584
1329,2014-10-09T12:39:00+0530,224.43,224.5,224.35,224.4,1515
1330,2014-10-09T12:40:00+0530,224.5,224.5,224.3,224.3,3753
1331,2014-10-09T12:41:00+0530,224.42,224.42,224.09,224.09,4629
1332,2014-10-09T12:42:00+0530,224,224.27,224,224.19,5421
1333,2014-10-09T12:43:00+0530,224.27,224.27,224.13,224.15,1602
1334,2014-10-09T12:44:00+0530,224.19,224.27,224.13,224.17,2157
1335,2014-10-09T12:45:00+0530,224.27,224.27,224.03,224.05,2418
1336,2014-10-09T12:46:00+0530,224.17,224.17,224.05,224.13,930
1337,2014-10-09T12:47:00+0530,224.13,224.22,224.07,224.09,1569
1338,2014-10-09T12:48:00+0530,224.17,224.17,224.09,224.15,1104
1339,2014-10-09T12:49:00+0530,224.15,224.17,224.02,224.02,3546
1340,2014-10-09T12:50:00+0530,224,224.15,224,224.05,1281
1341,2014-10-09T12:51:00+0530,224.05,224.15,224.03,224.03,1584
1342,2014-10-09T12:52:00+0530,224.02,224.15,223.5,223.73,12177
1343,2014-10-09T12:53:00+0530,223.63,223.87,223.63,223.67,1779
1344,2014-10-09T12:54:00+0530,223.72,223.72,223.53,223.63,2535
1345,2014-10-09T12:55:00+0530,223.67,223.72,223.6,223.72,4314
1346,2014-10-09T12:56:00+0530,223.8,223.83,223.67,223.67,1107
1347,2014-10-09T12:57:00+0530,223.69,223.83,223.53,223.67,6180
1348,2014-10-09T12:58:00+0530,223.73,223.73,223.57,223.72,1428
1349,2014-10-09T12:59:00+0530,223.75,224.25,223.72,224.03,6312
1350,2014-10-09T13:00:00+0530,224.03,224.25,224,224.13,2280
1351,2014-10-09T13:01:00+0530,224.02,224.25,223.85,223.92,4926
1352,2014-10-09T13:02:00+0530,224.05,224.23,223.63,223.69,3918
1353,2014-10-09T13:03:00+0530,223.67,223.9,223.67,223.85,2166
1354,2014-10-09T13:04:00+0530,223.85,224.09,223.82,223.82,1605
1355,2014-10-09T13:05:00+0530,224.07,224.07,223.83,223.85,882
1356,2014-10-09T13:06:00+0530,223.99,224.22,223.85,223.92,2466
1357,2014-10-09T13:07:00+0530,223.92,224.17,223.92,223.95,1557
1358,2014-10-09T13:08:00+0530,224.09,224.09,223.92,223.93,642
1359,2014-10-09T13:09:00+0530,223.93,224.13,223.92,223.97,924
1360,2014-10-09T13:10:00+0530,224,224,223.83,223.83,2346
1361,2014-10-09T13:11:00+0530,223.83,224.13,223.83,224.1,2139
1362,2014-10-09T13:12:00+0530,224.13,224.23,223.93,224.1,3006
1363,2014-10-09T13:13:00+0530,224.22,224.22,223.9,224.03,1872
1364,2014-10-09T13:14:00+0530,224.07,224.2,223.93,224.05,2586
1365,2014-10-09T13:15:00+0530,224.2,224.23,223.89,223.99,2820
1366,2014-10-09T13:16:00+0530,223.99,224.27,223.99,224.1,2802
1367,2014-10-09T13:17:00+0530,224.27,224.27,224.09,224.09,864
