id,number_of_retweets,number_of_favorites,created_at,text
999716099334717441,1,2,2018-05-24 18:17:46,b'Donald Trump signs biggest rollback of bank rules since Dodd-Frank Act.\nhttps://t.co/8GxLIA5guy https://t.co/erCrw7tqnA'
999715067762425856,3,3,2018-05-24 18:13:40,b'Delta Airlines will return to Mumbai.\nhttps://t.co/60ubUIi7AR'
999714437073330176,1,3,2018-05-24 18:11:10,"b""Congress spokesperson @SalmanSoz clarifies on whether the party is 'broke.'\nhttps://t.co/DoQ7kORFHn https://t.co/RFsuJbEpIP"""
999713325175853056,3,3,2018-05-24 18:06:45,"b'Seven states, five union territories to roll out intra-state e-way bill tomorrow.\nhttps://t.co/PxEZTttgSV https://t.co/rCg35OAEZF'"
999712329624256512,0,0,2018-05-24 18:02:47,"b""The Trump-Kim meet is off! Bloomberg's @kevcirilli gets us the highlights from Trump's letter to Kim Jong Un.\xe2\x80\xa6 https://t.co/Oo8cqhCYFf"""
999710954383228928,5,2,2018-05-24 17:57:19,b'Father-son duo arrested for Rs 28-crore #GST evasion.\nhttps://t.co/K4Qoj5eMJ1 https://t.co/CT4MxqCXKq'
999710652896706560,9,14,2018-05-24 17:56:08,"b""The government's double game in Tuticorin has gone too far, @nramind tells @TamannaInamdar. #SterliteProtests\xe2\x80\xa6 https://t.co/VVY8MS0vE5"""
999709520111652864,2,4,2018-05-24 17:51:37,b'GAIL looks to list subsidiary GAIL Gas.\nhttps://t.co/X8ObmdkWgM https://t.co/wu020JaAQy'
999704079034081280,0,1,2018-05-24 17:30:00,"b'#BQOpinion | How the idea of #TeamIndia has fared, in the #4YearsOfModi, by @ShankkarAiyar.\nhttps://t.co/zwDHM1xeIo https://t.co/EStufxrgqS'"
999696540531912704,3,4,2018-05-24 17:00:03,b'#4YearsOfModi | More hits or more misses? Tell us what you think and get featured on our special show tomorrow.\xe2\x80\xa6 https://t.co/XYb3Y2OYPT'
999696531421908995,2,2,2018-05-24 17:00:01,b'A breakthrough x-ray technology that can detect unseen gold is up and running in Australia.\nhttps://t.co/zUGN290Gp6 https://t.co/wTVgprOjSh'
999692687707009024,8,19,2018-05-24 16:44:44,b'Netflix just passed Disney and became the world\xe2\x80\x99s biggest media stock.\nhttps://t.co/34puXunNtt https://t.co/kq5eWIDkdU'
999692249523863552,2,3,2018-05-24 16:43:00,b'Relentless oil rally has become PM Modi\xe2\x80\x99s big opponent ahead of 2019 polls.\nhttps://t.co/ebfzAdsiRL https://t.co/5hbhIpTX13'
999692093806100481,3,4,2018-05-24 16:42:23,b'NSE\xe2\x80\x99s NOW tool faces glitch.\nhttps://t.co/agHJjd6PY7 https://t.co/JjMSDiIKk5'
